GEO_NAME,sum(Aboriginal_identity)
Canada,88366240.5
Newfoundland and Labrador,24918509.8
St. John's,27567205.2
Bay Roberts,7203028.1
Grand Falls-Windsor,16325887.7
Gander,17455574.5
Corner Brook,23477662.3
Prince Edward Island,18459217.6
Charlottetown,18386875.2
Summerside,3788147.4
Nova Scotia,21725841.2
Halifax,23331625.3
Kentville,12382414.4
Truro,17233391.5
New Glasgow,17365542.7
Cape Breton,18010803.6
New Brunswick,18410130.7
Moncton,20199623.9
Saint John,19229295.2
Fredericton,18324367.3
Bathurst,17621673.6
Miramichi,15130036.3
Campbellton,15233626.3
Campbellton (New Brunswick part),11048787
Campbellton (Quebec part),11909539.5
Edmundston,14611422.7
Quebec,50077077.3
Matane,8620406.6
Rimouski,14967865.9
Rivière-du-Loup,8720615.6
Baie-Comeau,18097890.1
Saguenay,21496218.4
Alma,16818219.8
Dolbeau-Mistassini,16584026.5
Sept-Îles,20810685.6
Sainte-Marie,2289106.4
Saint-Georges,6907334.5
Thetford Mines,3007348.6
Sherbrooke,17929466.5
Cowansville,5466215
Victoriaville,4474342.9
Trois-Rivières,17359218.2
Shawinigan,10884228.5
Drummondville,12396781.8
Granby,11597268.4
Saint-Hyacinthe,10459862.8
Sorel-Tracy,9122606.6
Joliette,12288295.5
Montréal,23325532.1
Salaberry-de-Valleyfield,7142915.5
Lachute,2269362.1
Val-d'Or,15129573.7
Rouyn-Noranda,15443790.8
Ontario,36859162.7
Cornwall,15941420.3
Hawkesbury,2997008.9
Hawkesbury (Quebec part),5300.4
Hawkesbury (Ontario part),2764189.9
Ottawa - Gatineau,28356123.5
Ottawa - Gatineau (Quebec part),25203621.8
Ottawa - Gatineau (Ontario part),28495141.6
Arnprior,15762576.2
Carleton Place,21906998.4
Brockville,15244523.5
Pembroke,21547439.3
Petawawa,22185848.2
Kingston,21144474.5
Belleville,19712998.8
Cobourg,7874372.6
Port Hope,8266674.3
Peterborough,18097630.4
Kawartha Lakes,18937479.5
Centre Wellington,10616325.9
Oshawa,25754271.6
Ingersoll,9019843
Toronto,27479175.3
Hamilton,22121073.1
St. Catharines - Niagara,19574702.2
Kitchener - Cambridge - Waterloo,22111792.6
Brantford,19359997.3
Woodstock,18067125
Tillsonburg,7363711.9
Norfolk,18333552.1
Guelph,20611868.3
Stratford,11852585.1
London,19894091.6
Chatham-Kent,18123940.7
Leamington,14880433.9
Windsor,22685596.6
Sarnia,21193984.5
Wasaga Beach,10299847.7
Owen Sound,13136888.9
Collingwood,10022254.7
Barrie,23897275.6
Orillia,18361702.5
Midland,18334384.4
North Bay,20578716.2
Greater Sudbury,25016009.7
Elliot Lake,14494361.5
Timmins,24459899.8
Sault Ste. Marie,19296345
Thunder Bay,21646621.2
Kenora,22130081.3
Manitoba,27857755.2
Winnipeg,24923026
Winkler,11140209.6
Steinbach,13311623.3
Portage la Prairie,19762252.4
Brandon,20750511.1
Thompson,29387555.6
Saskatchewan,27258535.3
Regina,24523407.9
Yorkton,19233765.6
Moose Jaw,20054748.2
Swift Current,15053787.6
Saskatoon,26158274.4
North Battleford,20417460
Prince Albert,23942712.1
Estevan,19148553.4
Weyburn,9696579.2
Alberta,36296358.6
Medicine Hat,21674039.1
Brooks,11991982.8
Lethbridge,21074953.6
Okotoks,24764104
High River,11801085.6
Calgary,30353803.6
Strathmore,14902979.6
Canmore,8576720.5
Red Deer,25793408.2
Sylvan Lake,23931573.4
Lacombe,14684049.8
Camrose,16170398.5
Edmonton,30671451.1
Lloydminster,25038189.9
Lloydminster (Saskatchewan part),19350305.3
Lloydminster (Alberta part),27381321.2
Cold Lake,26872480.3
Grande Prairie,28289586.9
Wood Buffalo,49714895
Wetaskiwin,19541062.7
British Columbia,31097563
Cranbrook,20049174
Nelson,10628860.9
Penticton,18604918.1
Kelowna,21747950.1
Vernon,19663722.9
Salmon Arm,15591010.9
Kamloops,22536009.1
Chilliwack,20135652.4
Abbotsford - Mission,20962320.2
Vancouver,24831294.6
Squamish,17142520.8
Victoria,21048918.3
Duncan,16732386.2
Nanaimo,18359913.5
Parksville,14896164.9
Port Alberni,16194013.9
Courtenay,18347564.9
Campbell River,19531619.5
Powell River,11975424.4
Williams Lake,19948540.7
Quesnel,18503245.1
Prince Rupert,19626985.3
Terrace,18826860.1
Prince George,21576561.4
Dawson Creek,19094337.1
Fort St. John,29355151
Yukon,25048216.9
Whitehorse,26452646.7
Northwest Territories,28942727.2
Yellowknife,39645614.8
Nunavut,27946366.5